Timestamp,Instrument Name,Instrument Abbreviation,Scale Labels,Respondent,Phase,Additional Notes
10/15/2014 17:36:20,name,na,"1) adoles.-par. relation. domain         ap
2) life restrictions         lr
4) antagonism         an","Mother, Father","Phase 2, Phase 5, Screener, some stuff",this was the best form evar!
10/27/2014 13:42:22,,,,,,
10/27/2014 13:47:50,ADULT SENS. PROFILE,au,"auditory processing	ap
touch processing	tp","Mother, Father, Twin",Phase 4,
10/27/2014 13:50:29,APES,ap,"negative daily event impact	di
negative daily events	de
negative event	ne
negative impact	ni
negative major event 	me
negative major event impact 	mi
neutral event 	ue
positive event	pe
positive impact	pi
total event 	te
total impact 	ti",Twin,Phase 4,
10/27/2014 13:51:59,ASPD,ad,"callous/unemotional	cu
impulsivity 	im
narcissism 	na
total	to ",Twin,Phase 4,
10/27/2014 13:53:23,AUTISM SCREENER,as,,"Mother, Father",Phase 1,
10/27/2014 13:57:38,BASAL CORTISOL,bc,,"Mother, Father, Twin","Phase 3, Phase 4",sibm' is also listed under respondent 
10/27/2014 13:58:58,BASAL CORTISOL,bc_r1,,"Mother, Father, Twin","Phase 3, Phase 4","(indicates revised protocol, used for all ph4)
'sibm' is also listed under respondent "
10/27/2014 14:08:20,,,,,,
10/28/2014 15:28:19,BAYLEY RATINGS,br,,"experimenter 1, experimenter 2",Phase 3,
10/28/2014 15:28:52,BDI,bd,,"Mother, Father",Phase 3,
10/28/2014 15:30:04,BISBAS,bb,"bas drive		bd
bas fun seeking		bf
bas reward responsiveness		br
bis		bs","Mother, Father, Twin",Phase 4,
10/28/2014 15:30:45,BITSEA,bi,"competence domain		co
problem domain		pr",Mother,Phase 1,
10/28/2014 15:32:16,BLOCK (WISC –III),bl,,Twin,"Phase 3, Phase 4",
10/28/2014 15:32:59,BMSA,bm,,"Mother, Father",Phase 3,
10/28/2014 15:33:24,BMSA (SHORT),bs,,"Mother, Father",Phase 4,
10/28/2014 15:34:42,BPI -- symptomatology,bpsy,"conduct disorder	cd
depression		de
enuresis		en
impulsivity		im
inattention		at
opposition & defiance	od
overanxiousness	oa
overt aggression	ag
separation anxiety	sa",Twin,Phase 3,
10/28/2014 15:39:41,BPI – peer scales,bp_pp,"bullied		bu
peer acceptance and rejection	pa
prosocial behaviors	ps
social inhibition	so",Twin,Phase 3,
10/28/2014 15:41:37,CBQ,cb,"activity level		al
anger		an
approach		ap
attention focusing	af
fear		fe 
high pleasure 	hp
inhibtiory control	  ic 
impulsivity		im
low pleasure		lp
shyness		sh
soothability		so
smiling & laughter 	sl","Mother, Father","Phase 2, Phase 3",
10/28/2014 15:56:02,CDI (adol child rep.),cc,"anhedonia 	an
ineffectiveness	in
interpersonal problems	ip",Twin,Phase 4,
10/28/2014 15:58:36,CDI (adol child rep.),cc,"anhedonia 	an
ineffectiveness	in
interpersonal problems	ip
negative mood	nm
negative self-esteem	ns
total depression score	de",Twin,Phase 4,"This is the CORRECT variable name, people ignore the other CDI (adol child rep.) variable"
10/28/2014 15:59:02,CDI (depression),cd,,"Mother, Father","Phase 2, Phase 3",
10/28/2014 15:59:36,CDI (adol parent report),cp,,"Mother, Father",Phase 4,
10/28/2014 16:00:03,CDI (MacArthur vocab.),cv,,"Mother, Father",Phase 1,
10/28/2014 16:00:29,CHAOS,ch,,Mother,Phase 3,
10/28/2014 16:01:32,CW STROOP,cw,,Twin,Phase 4,
10/28/2014 16:02:38,CW STROOP,cw_old ,,Twin,Phase 4,second CW STROOP abbreviation 
10/28/2014 16:03:56,CRPR,cr,"authoritarian control		ac
control by anxiety induction 	ca
control by guilt induction	cg
encourage independence		ei
encourage openness		eo
open aff. expression		oa
rational guidance		rg	","Mother, Father","Phase 1, Phase 3, Phase 4",
10/28/2014 16:04:24,CRSQ,cs,"angry expectations of rejection 	ge
anx. expectations of rejection	ne",Twin,Phase 4,
10/28/2014 16:05:16,DAS,da,"affectional expression		ae
dyadic adjustment		da
dyadic cohesion		dc
dyadic consensus		dn
dyadic satisfaction		ds",Mother,Phase 3,
10/28/2014 16:05:49,DCPL,dc,,"Mother, Father","Phase 3, Phase 4",
10/28/2014 16:07:35,DEM,de,,"Mother, Father","Phase 1, Phase 2, Phase 3, Phase 4, Phase 5, Screener","No f respondent at 1,s,5"
10/28/2014 16:08:21,DIGIT (WISC-III),di,"digits backward	db
digits forward	df",Twin,Phase 4,
10/28/2014 16:09:27,DTQ,dt,"affection			af
attention			at
discipline			di","Mother, Father","Phase 3, Phase 4",
10/28/2014 16:19:53,EATQ-R (CHILD REP),ec,"activation control	ac
affiliation	af
aggression 	ag
attention	at
depressive mood	dm
fear	fe
frustration	fs
inhibitory control	   ic
pleasure sensitivity	ps
shyness	sh
surgency	sg",Twin,Phase 4,
10/28/2014 16:21:18,EATQ-R (PARENT REP),ep,"activation control	ac
affiliation	af
aggression	  ag
attention	at
depressive mood	dm
fear	fe
frustration	  fs
inhibitory control	   ic
shyness	sh
surgency	sg","Mother, Father",Phase 4,
10/28/2014 16:21:39,EPSI,ei,,Twin,Phase 4,
10/28/2014 16:22:48,FAD,fa,"affectional involvement		ai
affective responses		ar
behavior control		bc
communication		cm
general functioning		gf
problem solving		ps
roles			rl","Mother, Father",Phase 3,
10/28/2014 16:24:10,FCS,fc,,"Mother, Father","Phase 3, Phase 4",
10/28/2014 16:26:22,FEQ ,fe,"negative dominance		nd
negative submissive		ns
positive dominance		pd
positive submissive		ps","Mother, Father",Phase 4,
10/28/2014 16:27:02,FINANCIALS STRESS,fs,,Mother,Phase 4,
10/28/2014 16:30:11,HBQ,hb,"attention composite		ac
conduct disorder		cd
depression		de
enuresis		en
externalizing composite		ec
health care utilization		hu
impact on family		if
impact on self			is
impulsivity		im
inattention		at
internalizing composite	ic
opposition & defiance  	od
overt aggression	  ag
overanxiousness	oa
physical health	ph
prosocial behavior	ps
recreational activities		rc
separation anxiety	sa
social relations		sr","Mother, Father","Phase 2, Phase 3, Screener",
